,High,Low,Open,Close,Volume
2024/5/19,269888888,255555555,255555555,269888888,57
2024/5/20,299969999,299969999,299969999,299969999,11
2024/5/21,258888700,256999999,256999999,258888700,20
2024/5/22,288668887,265555555,288668887,266666666,29
2024/5/23,268888886,268888886,268888886,268888886,10
2024/5/24,332222211,268888886,268888886,332222000,236
2024/5/25,322222000,322222000,322222000,322222000,3
2024/5/28,310111110,310111110,310111110,310111110,6
2024/5/29,308886888,308886888,308886888,308886888,10
2024/5/30,300000000,288888888,288888888,300000000,5
2024/6/1,290000000,290000000,290000000,290000000,11
2024/6/2,299966888,299966888,299966888,299966888,1
2024/6/4,299988000,299880000,299880000,299988000,3
2024/6/8,388888888,293400000,293400000,387699999,1248
2024/6/9,387999999,299998888,387999999,375333333,33
2024/6/10,373333333,373333333,373333333,373333333,10
2024/6/11,355555555,355555555,355555555,355555555,3
2024/6/12,388888887,333333332,333333332,365688887,56
2024/6/13,424444414,350000000,350000000,424444414,189
2024/6/14,420000000,420000000,420000000,420000000,24
2024/6/16,355555555,355555555,355555555,355555555,1
2024/6/17,422222222,396699998,396699998,422222222,25
2024/6/18,400000000,400000000,400000000,400000000,5
2024/6/19,431333333,421222222,421222222,431333333,21
2024/6/20,466999990,399999999,399999999,466999990,9
2024/6/21,466999980,466699980,466999980,466699980,4
2024/6/23,422222222,419999999,422222222,419999999,2
2024/6/24,399969999,399969999,399969999,399969999,10
2024/6/25,399969999,399969999,399969999,399969999,3
2024/6/28,384669990,384669990,384669990,384669990,2
2024/6/29,383999999,350000000,383999999,350000000,3
2024/6/30,383999888,383669870,383999880,383999888,91
2024/7/1,488888888,379999999,488888888,379999999,17
2024/7/3,378888888,378888888,378888888,378888888,5
2024/7/4,378768888,378768888,378768888,378768888,3
2024/7/5,378749999,378749999,378749999,378749999,1
2024/7/6,360000000,360000000,360000000,360000000,1
2024/7/7,377777776,339999999,339999999,350000000,18
2024/7/8,378788888,377777777,378000000,377777777,24
2024/7/9,348888888,340000000,340000000,348888888,11
2024/7/10,388888888,366655555,388888888,376555555,26
2024/7/12,378788888,378788888,378788888,378788888,1
2024/7/13,376666666,376666665,376666665,376666666,14
2024/7/14,376888888,299999999,355555505,344440000,115
2024/7/15,344333333,300000000,344333333,332111111,18
2024/7/16,355555555,310000000,322222221,329999999,218
2024/7/17,355000000,310000000,321111111,311111111,45
2024/7/19,311111111,299999999,311111111,310000000,12
2024/7/20,309888888,300000000,309888888,300000000,15
2024/7/21,299999999,288888888,299888888,288888888,28
2024/7/22,297777777,297444444,297777777,297444444,101
2024/7/23,297111111,289999999,297111111,289999999,6
2024/7/25,283999999,283999999,283999999,283999999,2
2024/7/27,283999999,270000000,283999999,270000000,6
2024/7/28,283888866,269999999,283888866,269999999,13
2024/7/29,267777777,267777777,267777777,267777777,11
2024/7/30,297999999,266666666,266666666,277777777,9
2024/8/2,233333333,231100000,233333333,231111099,18
2024/8/3,188888888,188888877,188888877,188888888,13
2024/8/4,200000000,199991111,199991111,200000000,6
2024/8/5,111111111,111111111,111111111,111111111,75
2024/8/6,198888888,100000000,166666000,198777777,34
2024/8/9,166600000,166600000,166600000,166600000,5
2024/8/10,166666000,137777777,137777777,166666000,20
2024/8/13,129999999,129999999,129999999,129999999,1
2024/8/16,119998889,111111000,111111000,119998889,35
2024/8/17,119999999,119999999,119999999,119999999,99
2024/8/18,133333333,129999998,129999998,133333333,19
2024/8/19,188888888,188888888,188888888,188888888,30
2024/8/20,188888880,188877777,188877777,188888880,7
2024/8/23,188888888,188888888,188888888,188888888,17
2024/8/27,244444444,188888880,222222222,188888880,4
2024/8/28,188888879,188888879,188888879,188888879,40
2024/8/30,167777777,167777777,167777777,167777777,1
2024/9/1,158888888,158888888,158888888,158888888,3
2024/9/2,166000000,158888885,159999999,158888885,3
2024/9/3,155555555,155555555,155555555,155555555,1
2024/9/4,166666666,166666666,166666666,166666666,1
2024/9/5,133333333,133333333,133333333,133333333,6
2024/9/6,144444444,122222222,122222222,144444444,7
2024/9/7,178888888,178888888,178888888,178888888,1
2024/9/9,155555555,144444444,144444444,155555555,9
2024/9/12,139099999,139099999,139099999,139099999,16
2024/9/15,138888888,138888888,138888888,138888888,3
2024/9/16,139999999,130000000,130000000,139999999,11
2024/9/18,138999000,138998888,138998888,138999000,3
2024/9/19,138999999,135555555,135555555,138999999,9
2024/9/21,139998888,138888888,138888888,139998888,8
2024/9/22,143333333,129999999,129999999,143333333,5
2024/9/26,135555555,135555555,135555555,135555555,1
2024/9/28,139999999,138888888,138888888,139999999,38
2024/9/30,144444444,140000000,140000000,144444444,39
2024/10/2,144000000,143300000,143300000,144000000,30
2024/10/3,155555555,144444444,144444444,155555555,184
2024/10/7,166660000,166659998,166659998,166660000,19
2024/10/9,166666666,166666666,166666666,166666666,1
2024/10/18,165124567,165124567,165124567,165124567,5
2024/10/19,166666666,165555555,165555555,166666666,3
2024/11/1,166666666,165124567,165124567,166666666,13
2024/11/3,155555555,155555555,155555555,155555555,3
2024/11/9,165555554,165555554,165555554,165555554,15
2024/11/11,165555555,165555555,165555555,165555555,10
2024/11/13,166666666,166666666,166666666,166666666,20
2024/11/17,155550000,88888888,100000000,155550000,200
2024/11/20,138877777,111111111,111111111,138877777,16
2024/11/21,138770000,128888887,138770000,138666666,55
2024/11/22,126888888,126888888,126888888,126888888,3
2024/11/23,121333333,121133222,121133222,121333333,52
2024/11/24,140777665,123222222,123222222,124888888,54
2024/11/26,130000000,122222222,123333333,130000000,55
2024/11/30,129999999,129999999,129999999,129999999,14
2024/12/1,129000000,128000000,129000000,128000000,2
2024/12/6,139988888,138888888,138888888,139988888,22
2024/12/8,122222111,122221111,122221111,122222111,21
2024/12/11,122222222,122211000,122222222,122219999,29
2024/12/15,139999888,139999887,139999887,139999888,2
2024/12/18,138888888,138888866,138888888,138888866,33
2024/12/21,139999999,136655555,136655555,139999999,64
2024/12/22,199999999,199999997,199999997,199999999,18
2024/12/28,289999999,289999999,289999999,289999999,2
2024/12/29,288888885,288888885,288888885,288888885,2
2024/12/31,287700000,287700000,287700000,287700000,2
2025/1/1,286552222,286552222,286552222,286552222,3
2025/1/4,277777770,277777770,277777770,277777770,1
2025/1/8,271111100,271111099,271111100,271111099,3
2025/1/9,271111111,270000000,271111111,270000000,3
2025/1/10,275555555,266666666,275555555,266666666,2
2025/1/12,199999999,199999999,199999999,199999999,1
2025/1/13,190000000,190000000,190000000,190000000,1
2025/1/14,188888888,166666666,166666666,179999999,19
2025/1/15,175555555,175555555,175555555,175555555,10
2025/1/16,173888888,173888888,173888888,173888888,1
2025/1/17,173333333,173222220,173333333,173222220,25
2025/1/18,168000000,165000000,168000000,165000000,3
2025/1/19,164000000,163000000,164000000,163000000,14
2025/1/20,160000000,160000000,160000000,160000000,20
2025/1/21,156999998,149999988,156990000,149999988,28
